name,description,unit,metric_type,gauge,sum,histogram,exponential_histogram,summary,metadata,resource,resource_schema_url,instrumentation_scope,metric_schema_url
redis.db.keys,Number of keyspace keys,{key},gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1,""exemplars"":[],""attributes"":{""db"":""0""},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.keys.expired,Total number of key expiration events,{event},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.keys.evicted,Number of evicted keys due to maxmemory limit,{key},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.keyspace.hits,Number of successful lookup of keys in the main dictionary,{hit},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.keyspace.misses,Number of failed lookup of keys in the main dictionary,{miss},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.connections.rejected,Number of connections rejected because of maxclients limit,{connection},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.memory.fragmentation_ratio,Ratio between used_memory_rss and used_memory,1,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":14.8,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.latest_fork,Duration of the latest fork operation in microseconds,us,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.memory.lua,Number of bytes used by the Lua engine,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":32768,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.memory.peak,Peak memory consumed by Redis (in bytes),By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1269560,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""os.type"":""linux"",""host.name"":""docker-desktop"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
